Name,Mate,Degree,Description,Continuity,Combo,Type
Into the Depths,Slammed Against the Hull,Major,"Battlefield drops to 0.
Once on shore, as recipient of Difficulty 4 Scrounging test, roll a die. 1-2: trade for “Slammed Against the Hull.” 3-4: trade for “Cough, Choke, Splutter.” 5-6: refresh Battlefield and discard.",,,Injury
Soul Decay,Black Blood,Minor,"Lose 1 Composure. At the end of each interval, roll a die. Odd: lose 1 Composure.
Discard on a success that aids you against a supernatural entity.",,,Injury
Black Blood,Soul Decay,Major,"Roll a die. Lose Health points equal to the result. If you are then at 0 Health, this becomes a Continuity card.
On a success that aids you against a supernatural entity, roll a die. Even: discard at end of session.",,,Injury
Susceptible,Black Tears,Minor,"-1 to tests when in the presence of Warspawn or Carcosans.
Discard as recipient of an Occultism Push or Difficulty 6 Morale success.",,,Injury
Black Tears,Susceptible,Major,"All PCs take -1 to tests. Effects of multiple “Black Tears” cards do not stack.
Discard by contributing to the defeat of a Warspawn or Carcosan.",,,Injury
Worse Than It Looks,Thoroughly Perforated,Minor,"On the next Physical test you fail by 1, discard this card, and succeed at the test with a margin of 0.",,,Injury
Thoroughly Perforated,Worse Than It Looks,Major,"-2 to tests. 
As recipient of Difficulty 5 First Aid success, roll a die. Even: trade for “Worse Than It Looks.” Odd: trade for “Shot Up Good.”",,,Injury
Stink Grenade,Drenched in Stink,Minor,"-3 to tests.
Discard by leaving the area of effect. Regain this Injury if you re-enter.",,,Injury
Drenched in Stink,Stink Grenade,Major,"-3 to tests within area of effect. -1 to tests otherwise.
Discard after a three-hour bath in anti-stink solution (world time).",,,Injury
Light Shrapnel,Grenade,Minor,"-1 to Physical tests. 
Discard at next interval.",,,Injury
Grenade,Light Shrapnel,Major,"The margin of your failed Physical tests increases by 1. When you fail a Physical test, all Focus tests take -1 penalty until end of interval. Discard as recipient of Difficulty 6 First Aid success.",,,Injury
Struck by Debris,Cannon Fodder,Minor,"1 to tests. 
Discard on a successful test.",,,Injury
Cannon Fodder,Struck by Debris ,Major,"Counts as 2 Injury cards. -4 to all tests. 
After 24 hours of world time, trade for “Patched Up.”",,,Injury
Impediment,,Secondary,"-1 to Physical tests. 
After 24 hours of world time, discard as recipient of a 1-point First Aid spend. After 48 hours of world time, discard.",,,Injury
Patched Up,,Secondary,"-1 to tests. 
Trade for “Recovering” on a salient Physical success.",,,Injury
Recovering,,Secondary,"Trade for “Patched Up” when you take another Injury card. 
Discard at end of session.",,,Injury
Shot Up Good,,Secondary,"-1 to all tests. First Aid tests in which you are the recipient take a -1 penalty. 
Trade for “Patched Up” as recipient of Difficulty 4 First Aid success.",,,Injury
Still Crispy,,Secondary,"First Aid tests in which you are the recipient take a -2 penalty. 
Trade for “Recovering” after 24 hours of world time.",,,Injury
Sliced and Diced,Skinned Alive,Minor,"-1 to Physical tests. 
After failing a salient Physical test, roll a die. If the foe who dealt you this Injury (or “Skinned Alive”) is dead, discard on an even result. If not, discard on a 6. ",,,Injury
Skinned Alive,Sliced and Diced,Major,"You can’t perform Physical tests. -2 to Focus and Presence tests.
After one day of world time and as recipient of a Difficulty 6 First Aid success, trade for “Sliced and Diced.”
If still held at end of scenario, you die.",,,Injury
Knife Wound,Bayonet Wound,Minor,"Roll a die. Odd: -2 to your next test. Even: -1 to your next test. 
Discard after next test.",,,Injury
Bayonet Wound,Knife Wound,Major,"-2 to Physical tests. -2 to First Aid tests performed on you. 
Trade for “Patched Up” as recipient of Difficulty 4 First Aid success.
If still held at end of scenario, you succumb to your injuries and die.",,,Injury
Barely a Scratch,Bullet Wound,Minor,"-2 on your next test. If you succeed at the test, you may discard a non-Continuity Shock card. 
After your next test, discard as recipient of Difficulty 4 First Aid success.",,,Injury
Bullet Wound,Barely a Scratch,Major,"-2 to Physical tests. Counts as 2 Injury cards. Trade for “Patched Up” as recipient of Difficulty 6 First Aid success.
If still held at end of scenario, you succumb to your injuries and die.",,,Injury
Gash,Bullet Wound,Minor,"Before your next test, roll a die and discard this card. Odd: -2 on test.",,,Injury
Jabbed,Impaled and Partially Exsanguinated,Minor,"Discard by spending 2 Health, or as recipient of 1-point First Aid spend from another player.",,,Injury
Impaled and Partially Exsanguinated,Jabbed,Major,"-3 on next Physical test, -2 on next test of any kind after that; then you may spend 2 Health to trade for “Recovering” or 4 Health to trade for “Dazed.”",,,Injury
Beak Jab,Beak Stab,Minor,"Roll a die. Even: discard immediately.
Odd: lose Health equal to your die roll. Discard after an hour (world time).",,,Injury
Beak Stab,Beak Jab,Major,"Roll a die: lose that number of points from Health, Athletics, and Fighting in a distribution of your choice.
Discard after an hour (world time).",,,Injury
Nearly Stomped,Steel Beam Stomp,Minor,"Lose 2 Athletics.
Discard after 10 minutes (world time).",,,Injury
Steel Beam Stomp,Nearly Stomped,Major,"-2 to tests. Counts as 2 Injury cards. 
As recipient of Difficulty 6 First Aid success, roll a die. Even: trade for “Patched Up.” Odd: trade for “Precarious Recovery.”",,,Injury
When You Regain Consciousness...,,Minor,"You are knocked out and will wake up in the foe’s clutches. 
Discard when you gain a core clue while in custody, or when you escape.",,,Injury
Seeing Double,Skull Fracture,Minor,"You are knocked out and wake up in the foe’s clutches. -1 to Presence tests. 
Discard on your first Presence test following your escape or rescue.",,,Injury
Skull Fracture,Seeing Double,Major,"You are knocked out and wake up in the foe’s clutches. -2 to tests.
After you escape or are rescued, trade for “Patched Up” as recipient of 2-point First Aid spend or “Dazed” on a 4-point spend.",,,Injury
Punched,Parasitic Link,Minor,"Discard after your next test. If that test is a Focus test, it takes a -2 penalty. Otherwise, the test takes a -1 penalty.",,,Injury
Parasitic Link,Punched,Major,"-1 to any test you spend points on. 
Discard by killing the redmedic who healed you.",,,Injury
Superficial Burns,Deep Burns,Minor,"-1 to Physical tests. 
Discard by spending 2 First Aid on yourself, or having 1 First Aid spent on you.",,,Injury
Deep Burns,Superficial Burns,Major,"-2 to Physical tests. 
After any successful Physical test, spend 1 Health to trade for “Superficial Burns.”",,,Injury
Microscopic Wounds,Cell Damage,Minor,"-1 to First Aid tests performed on 
you by other characters.
Discard when you are the would-be 
recipient of a failed First Aid test.",,,Injury
Cell Damage,Microscopic Wounds,Major,"-1 to First Aid tests performed on 
you by other characters.
When a first First Aid test works 
on you, roll a die. Even: trade for 
“Microscopic Wounds.”",,,Injury
Hoof Strike,Warhorse Bite,Minor,"Any time after the current interval, you may spend 1 Health or have 2 First Aid spent on you to discard.",,,Injury
Warhorse Bite,Hoof Strike,Major,"-1 to Physical tests. 
At end of interval, roll a die. Even result: discard. Odd result: trade for “Patched Up.”",,,Injury
Blown Back,“Am I Still In One Piece?”,Minor,"Lose 1 Composure and 1 Health.
After any success with a margin of 0 or 1, you may pay 1 Composure to discard.
After any success with a margin of 2 or more, discard.",,,Injury
A Mere Nip,Torn Throat,Minor,"Your next test takes a penalty: -2 for a Physical test, -1 for any other test. Then discard.",,,Injury
Torn Throat,A Mere Nip,Major,-2 to Physical tests. Trade for “Patched Up” and “Shaken” as recipient of a successful Difficulty 6 First Aid test.,,,Injury
Grazed by a Needler,Shot by a Needler,Minor,Lose 2 Athletics. Discard as recipient of a Difficulty 4 First Aid success. ,,,Injury
Shot by a Needler,Grazed by a Needler,Major,"Physical tests automatically fail with a margin of 3. After two intervals, you may discard as recipient of a Difficulty 5 First Aid success.",,,Injury
Grazed by a Mangler,Shot by a Mangler,Minor,Lose 3 Composure. Discard as recipient of a Difficulty 4 First Aid success. ,,,Injury
Shot by a Mangler,Grazed by a Mangler,Major,"Composure pool drops to 0. Presence tests automatically fail with a margin of 3. After two intervals, you may discard as recipient of a Difficulty 6 First Aid success.",,,Injury
Pain Baton Tap,Pain Baton Hit,Minor,"-2 to tests for 30 minutes of game time, then discard.",,,Injury
Pain Baton Hit,Pain Baton Tap,Major,"-6 to tests for 15 minutes of game time, -2 to tests for following 15 minutes, then discard.",,,Injury
Cambuk Zap,Cambuk Slash,Minor,"Shock or Injury (player chooses)
-4 to Composure tests when in view of the Yellow Sign. 
Discard after two intervals.",,Choose,Injury
Cambuk Slash,Cambuk Zap,Major,"-4 to Composure tests when in view of the Yellow Sign. 
After two intervals, you may discard as recipient of a Difficulty 4 First Aid success.",,Combo,Injury
Knocked Out,Neural Hemorrhage,Minor,"You fall unconscious and can take no further actions for 30 minutes of world time. 
Then wake up and discard.
If you wake up as a prisoner, and do not get an opportunity to gain key information as a result, you may then discard a non-Continuity Shock card.",,,Injury
Neural Hemorrhage,Knocked Out,Major,"You fall unconscious and can take no further actions. After 30 minutes of world time, you wake up, trading this card for your choice of the Injury card “On the Mend” or the Shock card “Rattled.” 
If you wake up as a prisoner, and do not get an opportunity to gain key information as a result, you may then discard a non-Continuity Shock card.",,,Injury
Forget-Me-Do,Forced Amnesia,Minor,"-1 to Presence tests.
x = your failed margin plus a die roll.
Everything that happened to you in the past x hours (world time) seems like an unreliable blur, with actual events and dream-like impossibilities tangled up together.
After one interval, discard and roll a die. Odd: the memory confusion persists permanently.",,,Injury
Forced Amnesia,Forget-Me-Do,Major,"Everything that happened to you in the scenario so far seems like an unreliable blur, with actual events and dream-like impossibilities tangled up together.
Discard by finding definitive external proof of the event you were meant to forget.",,,Injury
Aversion Bracelet I,Aversion Bracelet II,Minor,"When you can see a Yellow Sign from 12 or fewer meters away, -1 to tests, and this becomes a Shock card. Effects last for one hour (world time).
Discard as recipient of a Difficulty 4 Mechanics success.",,,Injury
Aversion Bracelet II,Aversion Bracelet I,Major,"When you can see a Yellow Sign from 24 or fewer meters away, -1 to tests, and this becomes a Shock card. Effects last for three hours (world time).
Discard as recipient of a Difficulty 4 Mechanics success.",,,Injury
Goodbye Gas Exposure,Goodbye Gas Contact,Minor,"-1 to Physical test.
On a Difficulty 4 Health success, or as recipient of a Difficulty 4 First Aid success, roll a die. On a 1, trade for “Precarious Recovery.” Otherwise, trade for “Draggy.”",,,Injury
Goodbye Gas Contact,Goodbye Gas Exposure,Major,"-2 to Physical tests. 
If received with no other Injury cards in hand, counts as 2 Injury cards. 
On a Difficulty 6 Health success, or as recipient of a Difficulty 6 First Aid success, roll a die. Even: trade for “Goodbye Gas Exposure.” Odd: trade for “On the Mend.”
If still in hand at end of scenario, you dissolve into goo and die.",,,Injury
Readball Graze,Readball Hit,Minor,"An enemy knows everything you perceived and thought for the last x hours. x = your margin on the test to avoid this Injury.
Discard as recipient of a Difficulty 4 First Aid success. If the First Aid test fails, trade for “Draggy.”",,,Injury
Readball Hit,Readball Graze,Major,"An enemy knows everything you perceived and thought for the last x hours. x = your margin on the test to avoid this Injury, times 2.
Discard as recipient of a Difficulty 6 First Aid success. If the First Aid test fails, trade for “Shot.”",,,Injury
Enhanced Punch,Ultra-Beatdown,Minor,"Roll a die. Even: lose 2 Health. Odd: -1 to Physical tests.
Discard at end of interval.",,,Injury
Ultra-Beatdown,Enhanced Punch,Major,"-2 to tests. 
Trade for “Patched Up” as recipient of a 3-point First aid spend and a 2-point Morale spend (can be from different PCs). 
If still in hand at end of scenario, gain “Permanent Injury.”",,,Injury
Spore Exposure,Precancerous,Minor,"At end of next interval, make a Difficulty 4 Health test. On a failure, trade for “Precancerous.” On a success, discard.",,,Injury
Precancerous,Spore Exposure,Major,"At the end of every scenario after this one, roll a die. Even: lose 1 point of your Health rating; you may not increase your rating through improvement while holding this card. Odd: after a final speech to comrades, your character dies.
Discard by finding a Carcosan healing potion. (Your GM will provide a plot or subplot making this possible.)",Continuity,,Injury
Shattering Hand Strike,Razor Hand Strike,Minor,"You can’t take tests or make Pushes. 
Every hour (game time) you may make a Difficulty 4 Health test. Success: discard.",,,Injury
Razor Hand Strike,Shattering Hand Strike,Major,"You can’t take tests or make Pushes, or do anything but lie on the ground bleeding out.
Every hour (game time) you may make a Difficulty 5 Health test or receive a Difficulty 5 First Aid test. Success: trade for “Shattering Hand Strike.”",,,Injury
Zapped,High Voltage,Minor,"-3 on Athletics and Fighting tests vs. beings like the one who zapped you.
After an hour of world time, discard by spending 1 Health.",,,Injury
High Voltage,Zapped,Major,"-2 to your next Physical test, -1 to the Physical test after that. Then trade for “On the Mend.”",,,Injury
Wrenched Neck,Dupe Bite,Minor,"Lose 1 Health each time you make a Physical test. If your Health is 0, lose 1 Composure. 
Discard on a Physical success with a margin greater than 1.",,,Injury
Dupe Bite,Wrenched Neck,Major,Receive a Difficulty 3 First Aid success within 15 minutes of world time or die. Each PC can try First Aid on you once during that time.,,,Injury
Scratched,Ticking Time Bomb,Minor,"-1 on tests. 
At end of interval, spend 2 Health to discard. If you don’t have the Health to spend, trade for “Ticking Time Bomb.”",,,Injury
Ticking Time Bomb,Scratched,Major,"After 24 hours of world time, you feel a compulsion to find a crowd and wander into it, at which point you explode and die, killing everyone within 50 m.
Discard as recipient of a special blood transfusion from a Specialized Bomb Disposal Medical Unit. Your GM will make this possible in the story, though maybe at some cost or risk to the group.",,,Injury
Fin Scratch,Jostled,Minor,"At next interval, pay 1 Health and discard.
If you have no Health to spend, discard after two intervals.",,,Injury
Jostled,Fin Scratch,Major,"At next interval, pay 1 Health and 1 Athletics and discard.
If you don’t have the points to spend, discard as recipient of a Difficulty 3 First Aid success.",,,Injury
Knife Slash,Deep Stab,Minor,"After a successful Physical test, pay 1 Health to discard.",,,Injury
Deep Stab,Knife Slash,Major,"Counts as 2 Injury cards. You can’t make tests or spend Pushes. After an hour of world time, trade for “On the Mend,” as recipient of a Difficulty 5 First Aid success.",,,Injury
Knock to the Head,Gunshot Wound,Minor,Discard as recipient of a 1-point First Aid spend.,,,Injury
Gunshot Wound,Knock to the Head,Major,"-2 to Physical tests. 
Trade for the card “On the Mend” as recipient of a Difficulty 6 First Aid success. 
If still in hand at end of scenario, you succumb to your injuries and die.",,,Injury
Throat Squeeze,Breastbone-Piercing Punch,Minor,"-1 to Physical and Composure tests. 
Discard as recipient of a First Aid test. Difficulty starts at 6 and drops by 1 at the start of each new interval.",,,Injury
Breastbone-Piercing Punch,Throat Squeeze,Major,"-2 to Physical and Composure tests, -1 to all other tests. 
As recipient of a Difficulty 6 First Aid success, trade for “On the Mend.”",,,Injury
Riot Dog Bite,Riot Dog Mauling,Minor,"-2 to Composure tests. 
Discard as recipient of a Difficulty 4 Morale success.",,,Injury
Riot Dog Mauling,Riot Dog Bite,Major,"-2 to Composure tests. 
After a Composure failure, discard as recipient of a Difficulty 5 Morale success.",,,Injury
Superhuman Blow,Superhuman Smash,Minor,"Roll a die. Even: Health drops to 0. Odd: Athletics drops to 0. 
Discard as recipient of a Difficulty 4 First Aid test. If the margin is greater than 2, refresh the affected pool. ",,,Injury
Superhuman Smash,Superhuman Blow,Major,"Health, Athletics, and Fighting drop to 0. 
As recipient of a Difficulty 4 First Aid success, trade for “On the Mend.”",,,Injury
Neuropathic Swipe,Neuropathic Disequilibrium,Minor,Trade for “On the Mend” as recipient of a Difficulty 5 First Aid success.,,Combo,Injury
Neuropathic Disequilibrium,Neuropathic Swipe,Major,"If this card and the next Shock card you receive are still in hand at the end of the session, the Shock card becomes a Continuity card.
When you discard a Shock card, make a Difficulty 4 Composure test. On a success, discard this card too.",,,Injury
Surprise Kidney Stab,Surprise Throat Slash,Minor,"-2 to tests. As a recipient of a Difficulty 5 First Aid success, roll a die. Even: discard. Odd: trade for “On the Mend.”",,,Injury
Surprise Throat Slash,Surprise Kidney Stab,Major,"You can’t take tests or make Pushes, or do anything but lie on the ground bleeding out. Any PC seeing you take your injury must succeed at Composure vs. Difficulty 5, or take the Shock card “Rattled.”
As recipient of a Difficulty 5 First Aid success, trade for “Laceration.”",,,Injury
Laceration,Flesh Wound,Minor,"When called on to make a Physical test, you may choose to take a -2 penalty on the test and then discard this card.",,,Injury
Flesh Wound,Laceration,Major,-1 to non-Focus tests. Trade for “Laceration” after on a non-Focus success.,,,Injury
Dinosaur Wound,Dinosaur Bite,Minor,"-2 to Physical tests.
After an hour or more of world time, as recipient of a Difficulty 5 First Aid test, roll a die. Even: discard. Odd: trade for “On the Mend.”",,,Injury
Dinosaur Bite,Dinosaur Wound,Major,"Counts as 2 injuries. You can’t make tests.
After a day or more of world time, as recipient of a Difficulty 6 First Aid success, roll a die. Even: trade for “On the Mend.” Odd: trade for “Dinosaur Wound.”",,,Injury
Puncturing Beak,Rending Beak,Minor,"If you have 3 Fighting to lose, lose 3 Fighting. Otherwise, -1 to tests.
Receive a Difficulty 4 First Aid success to discard after any failure.",,,Injury
Rending Beak,Puncturing Beak,Major,"You can’t make tests or spend Pushes. 
As recipient of a Difficulty 5 First Aid success, trade for “Puncturing Beak.”",,,Injury
Psychic Dislocation,A Mere Nip,Minor,"At any time, trade for the Shock card “Hackles Raised.”",,,Injury
Tentacle Stun,Brainbat Bite,Minor,"Making a Presence test also requires a spend of 1 Health, which does not add to your roll.
Discard on a Difficulty 5 Health success. You may attempt this test once per interval.",,,Injury
Brainbat Bite,Tentacle Stun,Major,"-1 to Physical tests, -2 to Composure tests. Trade for “Tentacle Stun” as recipient of Difficulty 5 First Aid success.",,,Injury
Raking Claws,Savage Mauling,Minor,"-1 to Physical tests; lose 2 Health.
Discard as recipient of Difficulty 4 First Aid success.",,,Injury
Savage Mauling,Raking Claws,Major,"-2 to Physical tests; lose 2 Health.
Trade for “Precarious Recovery” as recipient of Difficulty 5 First Aid success.",,,Injury
Scalpel to the Face,Power Tool to the Head,Minor,"-1 to Presence tests.
Receive a Difficulty 4 First Aid success during the session in which you receive this card to remove the Continuity tag.
If it has the Continuity tag, discard by overcoming an obstacle to gain access to top-notch cosmetic surgery.",Continuity,,Injury
Power Tool to the Head,Scalpel to the Face,Major,"-1 to tests; lose 2 Health. All other PCs who see you take this Injury must make Difficulty 5 Composure tests or gain the Shock card “Witness to Carnage.”
Trade for “Precarious Recovery” as recipient of Difficulty 6 First Aid success.",,,Injury
Nicked,Stabbed,Minor,"-1 on your next Physical or Focus test, then discard.",,,Injury
Stabbed,Nicked,Major,"-1 to tests (except Preparedness). After one interval, trade for “Nicked” as recipient of a Difficulty 4 First Aid test. ",,,Injury
Superficial Laceration,Run Through,Minor,"-1 to Physical tests. 
Discard on a Physical success.",,,Injury
Run Through,Superficial Laceration,Major,"You can’t take tests or make Pushes, or do anything but lie on the ground bleeding out. 
As recipient of Difficulty 5 First Aid success, trade for “Stabbed.”",,,Injury
Powder Burn,GSW,Minor,"-2 to Focus tests. 
Discard after Focus test that would have succeeded if not for this penalty.",,,Injury
GSW,Powder Burn,Major,"-1 on tests. Lose 1 Health after each Physical test.
As recipient of Difficulty 5 First Aid success, trade for “Powder Burn.”",,,Injury
Psi Pulse,Psi Blast,Minor,"-1 to Focus tests.
Discard when the person who dealt you this card is cured of the syndrome granting psychic abilities.",,,Injury
Psi Blast,Psi Pulse,Major,"-1 to Focus. Roll a die: subtract a number of points equal to the result from your Physical pools. You choose distribution.
Discard when the person who dealt you this card is cured of the syndrome granting psychic abilities.",,,Injury
Tag,You’re It,Minor,"-1 Fighting vs. this creature’s masters and allies.
Discard on a Fighting success vs. this creature’s masters or allies.",,,Injury
You’re It,Tag,Major,-2 Fighting vs. this creature’s masters and allies. -4 Sneaking in locations controlled by this creature’s masters and allies. Discard on a Fighting success vs. this creature’s masters or allies.,,,Injury
Heart Murmur,Cardiac Arrest,Minor,"Treat any 4 you roll as a 1. 
If this is the only Injury card you hold at the end of a scenario, discard.",,,Injury
Cardiac Arrest,Heart Murmur,Major,"All of your Physical pools drop to 0. -4 to Physical tests; -2 to all other tests. 
Trade for “Heart Murmur” as recipient of a Difficulty 5 First Aid test (must take place during the interval in which you receive this Injury) or after 24 hours world time convalescing in hospital.",,,Injury
Eel-Like Teeth,Glowdog Bite,Minor,"Discard by spending 1 Health as recipient of Difficulty 4 First Aid success, or after 24 hours world time.",,,Injury
Glowdog Bite,Eel-Like Teeth,Both,"-1 to Physical tests. 
Discard by receiving a Difficulty 4 First Aid success and then failing any subsequent test. First Aid Difficulty increases by 1 every time you enter a new interval.",,,Injury
Savaged,Glowdog Bite,Major,"-2 to Physical tests; -1 to Focus tests.
Trade for “On the Mend” as recipient of Difficulty 6 First Aid success.",,,Injury
Hoardling Claw,Hoardling Bite,Minor,"Lose 2 Health.
As recipient of a Difficulty 4 First Aid test, discard and roll a die. Even: regain 2 Health.",,,Injury
Hoardling Bite,Hoardling Claw,Major,"Lose 4 Health. -1 on your next Physical test.
As recipient of a Difficulty 5 First Aid test, discard and roll a die. Even: regain 2 Health.",,,Injury
Mighty Punch,Toxic Spit,Minor,"-1 to Physical tests. Make a Difficulty 4 Health test. Failure: remain unconscious until end of next interval. 
Discard after two intervals.",,,Injury
Toxic Spit,Mighty Punch,Major,"Lose 1 Composure on any failed Focus test.
Make a Difficulty 6 Health test. Failure: remain unconscious until end of next interval.
After two intervals, make a Difficulty 4 Health test. Success: discard.",,,Injury
Gutted,Stab Wound,Major,"Lose 4 Health. You can’t take tests or make Pushes, or do anything but lie on the ground bleeding out. 
Trade for “Stab Wound” as recipient of a Difficulty 5 First Aid test.
If still in hand at end of scenario, you succumb to your injuries and die.",,,Injury
Rampager Bite,Picked Up and Thrown Hard,Major,"-3 to your next test. -1 to subsequent Physical and Focus tests.
Any time after your next test, trade for “On the Mend” as recipient of Difficulty 5 First Aid success.",,,Injury
Light Scratch,Deep Gouge,Minor,"Lose 1 Health.
At end of next interval, discard and roll a die. Odd: lose 1 Health.",,,Injury
Deep Gouge,Light Scratch,Major,"Roll a die. Odd: Health drops to 0. Even: lose half of your Health pool (rounding up).
As recipient of Difficulty 4 First Aid success, trade for “On the Mend.”",,,Injury
Poisoned Scrape,Poisoned Stab,Minor,"When you make a Presence or Focus test and your unmodified die result comes up as an odd number, lose 1 Athletics and 1 Fighting.
When this happens, roll another die. Even: discard.",,,Injury
Poisoned Stab,Poisoned Scrape,Major,"When you make a Presence or Focus test, lose 1 Athletics and 1 Fighting.
As recipient of a Difficulty 5 First Aid test, trade for “Poisoned Scrape.”",,,Injury
Inky Veins,Organ Rot,Minor,"All Tolls increase by 1. 
After paying a Toll, roll a die. Even: discard.",,,Injury
Organ Rot,Inky Veins,Major,"Roll a second die when making any test, subtracting it from your result.
After failing a test, roll a die. Even: trade for “Inky Veins.”
If still in hand at end of scenario, make a Difficulty 5 Health test. On a failure, you die.",,,Injury
Telekinetic Grab & Throw,Telekinetic Beatdown,Minor,"-1 to Physical tests. 
Discard on a Physical success, or as recipient of 1-point First Aid spend.",,,Injury
Telekinetic Beatdown,Telekinetic Grab & Throw,Major,"-2 to Physical and Focus tests. 
After failing one Physical and one Focus test, roll a die. Even: discard. Odd: trade for “On the Mend.”",,,Injury
Saw Cut,Sawed Throat,Minor,"Lose 1 Health per interval for the next three intervals, then discard. 
Discard at any time as recipient of Difficulty 4 First Aid success.",,,Injury
Sawed Throat,Saw Cut,Major,"You can’t take tests or make Pushes, or do anything but lie on the ground bleeding out. 
Trade for “Saw Cut” as recipient of a Difficulty 6 First Aid test.",,,Injury
Static Energy Punch,Static Energy Bolt,Minor,"-1 to Fighting tests.
Discard on a salient Fighting success.",,,Injury
Static Energy Bolt,Static Energy Punch,Major,"-1 to Physical tests.
After two intervals, discard and roll a die. Odd: gain “Still Hurting.”",,,Injury
Electric Bolt,Lightning Bolt,Minor,"Lose 1 Health. -1 to Physical tests.
Roll a die and spend 1 Health at end of any interval. Even: discard.",,,Injury
Lightning Bolt,Electric Bolt,Major,"Lose 2 Health. -1 to Physical tests.
Roll a die and spend 2 Health at end of any interval. Even: discard. Odd: trade for “Electric Bolt.”",,,Injury
Carcosan Pallor,Carcosan Transformation,Minor,"When you receive this, you may specify that it is a Shock instead of an Injury.
You can’t attack a supernatural entity before it attacks you.
Discard by destroying the being whose presence gave you this card.",,,Injury
Carcosan Transformation,Carcosan Pallor,Major,"To fight a supernatural entity:
 • You must first succeed at a Difficulty 5 Composure test or make an Intimidation spend
 • It cannot be talking to you
Discard by destroying the being whose presence gave you this card.",,,Injury
Bruised,Battered,Minor,"The next time you try to make an Interpersonal Push, roll a die. Even: discard. Odd: you can’t make the Push.",,,Injury
Battered,Bruised,Major,"-3 on your next Physical test. -1 on the Physical test after that, then discard.",,,Injury
Seeing Stars,Dented Skull,Minor,-2 on Sense Trouble tests until end of session.,,,Injury
Dented Skull,Seeing Stars,Major,"You always fail Physical tests. -2 to all other tests. 
After four hours of world time, trade for “Seeing Stars.”",,,Injury
“But This is Wondrous Strange!”,Soul Strike,Minor,"-2 to Focus. (-1 if you have the Occultism ability.)
Discard on an Occultism Push from any character, or on a Focus success.",,,Shock
Soul Strike,“But This is Wondrous Strange!”,Major,"Discard when the ghost is destroyed or banished from the world of the living. If still in hand at the end of the scenario, your hair turns as white as bone.",,Combo,Shock
Overstepped Bounds,Wracked by Remorse,Minor,"-1 on your next Composure test, then discard.",,,Shock
Wracked by Remorse,Overstepped Bounds,Major,"Your next Composure test automatically fails, with a margin of 2. Then discard.",,,Shock
Oh Dear,Bit of a Sticky Wicket,Minor,Discard by finding a means of escape.,,,Shock
Bit of a Sticky Wicket,Oh Dear,Major,"-1 to Focus.
When you escape your current predicament, discard and roll a die. Odd: gain Shock card “Unnerved.”",,,Shock
Unnerved,Agitated,Minor,Discard by using an investigative ability to gain information.,,,Shock
Agitated,Unnerved,Major,"-1 to Presence.
When you use an investigative ability to gain information, roll a die. Even: discard.",,,Shock
Uncertainty,Questioning Your Senses,Minor,Discard when something you thought might be unreal turns out to be real.,,,Shock
Questioning Your Senses,Uncertainty,Major,"-1 to Presence.
Discard when something you thought might be unreal turns out to be real.",,,Shock
Enthralled,Alien Passion,Minor,"You may not act against the interests of the entity responsible for your taking this card, as you reasonably understand them.
When the entity harms another PC, roll a die. Even: discard.
Discard if the entity harms you or is destroyed (not by you, of course.)",,,Shock
Alien Passion,Enthralled,Major,"You love the entity responsible for your taking this card and may not act against its interests, as you reasonably understand them.
Discard when the entity is destroyed (not by you, of course.)",,,Shock
Influence,Violent Impulse,Minor,"The GM may require you to make a Difficulty 5 Composure test. On a failure, you take a subtly destructive, barely detectable action, specified by the GM, that would please the entity that gave you this card. After completing the action, roll a die, discarding this card on an even result. GM must wait two intervals before triggering the effect again.
Discard when the entity is destroyed.",,,Shock
Violent Impulse,Influence,Major,"After two or more intervals, the GM specifies that you strike violently against another PC. Test Fighting, spending 2 points (if available.) The PC tests Athletics, with your result as the Difficulty, taking the Injury card “Abrasion”, “Laceration”, “Scratched”, or “Roughed Up” (GM chooses.)
After completing the action, roll a die, discarding this card on an even result. GM must wait two intervals before triggering the effect again.
Discard when entity is destroyed.",,,Shock
Alarming Vision,Ghastly Vision,Minor,"-1 Fighting vs your main foe and its allies. +1 Fighting vs your main foe’s rivals.
When you gain important information about your main foe, roll a die. Meet or beat the number of Shock and Injury cards you hold to discard.",,,Shock
Ghastly Vision,Alarming Vision,Major,"All PCs take -1 Fighting vs your main foe and its allies. All gain +1 Fighting vs your main foe’s rivals.
When you aid your main foe, roll a die. Even: discard.",,,Shock
Embarrassed,Humiliated,Minor,"Nonlethal. -1 to Focus.
Discard on a Composure failure.",,,Shock
Humiliated,Embarrassed,Major,"Nonlethal. -1 to Presence.
Discard by winning over a difficult or intimidating witness.",,,Shock
Unease,Dread,Minor,Your next Presence or Focus test takes a -1 penalty. Then discard.,,,Shock
Dread,Unease,Major,"-1 to Presence and Focus tests. After any such test, roll a die. Even: trade for “Unease.”",,,Shock
Pity,Sick with Worry,Minor,"Lose 2 Health and 2 Composure when you make a Push.
You received this card through concern for another. Discard by at least partially alleviating that character's distress. ",,,Shock
Sick with Worry,Pity,Major,"Lose all of your Health or Composure pool, whichever is higher, when you make a Push. If the pools are equal, you choose.
You received this card through concern for another. Discard by conclusively solving that character's main problem.",,,Shock
Jinx,Ill-Omened,Minor,"Player to your left takes -1 to tests.
Discard when that player fails a test.",,,Shock
